Days to Ship,Sales Forecast,Ship Status,Category,City,Country,Customer Name,Order Date,Order ID,Product Name,Profit,Quantity,Region,Sales,Segment,Ship Mode,State,Sub-Category
6,293,Shipped On Time,Office Supplies,Columbus,United States,Chuck Clark,12/30/17,CA-2017-126221,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",56.511,2,Central,209.3,Home Office,Standard Class,Indiana,Appliances
4,127,Shipped Early,Technology,New York City,United States,Patrick O'Donnell,12/30/17,CA-2017-143259,Gear Head AU3700S Headset,2.7279,7,East,90.93,Consumer,Standard Class,New York,Phones
4,453,Shipped Early,Furniture,New York City,United States,Patrick O'Donnell,12/30/17,CA-2017-143259,"Bush Westfield Collection Bookcases, Fully Assembled",12.1176,4,East,323.136,Consumer,Standard Class,New York,Bookcases
4,74,Shipped Early,Office Supplies,New York City,United States,Patrick O'Donnell,12/30/17,CA-2017-143259,Wilson Jones Legal Size Ring Binders,19.791,3,East,52.776,Consumer,Standard Class,New York,Binders
4,19,Shipped Early,Office Supplies,Fairfield,United States,Erica Bern,12/30/17,CA-2017-115427,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",4.5188,2,West,13.904,Corporate,Standard Class,California,Binders
4,29,Shipped Early,Office Supplies,Fairfield,United States,Erica Bern,12/30/17,CA-2017-115427,GBC Binding covers,6.475,2,West,20.72,Corporate,Standard Class,California,Binders
4,4,Shipped Early,Office Supplies,Loveland,United States,Jill Matthias,12/30/17,CA-2017-156720,Bagged Rubber Bands,-0.6048,3,West,3.024,Consumer,Standard Class,Colorado,Fasteners
2,8,Shipped Late,Office Supplies,New York City,United States,Michael Chen,12/29/17,US-2017-102638,Ideal Clamps,2.9547,3,East,6.03,Consumer,First Class,New York,Fasteners
6,294,Shipped On Time,Office Supplies,Grand Rapids,United States,Ken Brennan,12/29/17,CA-2017-158673,Xerox 1915,100.656,2,Central,209.7,Corporate,Standard Class,Michigan,Paper
7,142,Shipped Late,Furniture,Anaheim,United States,Ben Peterman,12/29/17,CA-2017-146626,Nu-Dell Executive Frame,37.4144,8,West,101.12,Corporate,Standard Class,California,Furnishings
4,27,Shipped Early,Office Supplies,Edmonds,United States,Bruce Stewart,12/29/17,CA-2017-130631,Acco Glide Clips,9.604,5,West,19.6,Consumer,Standard Class,Washington,Fasteners
4,96,Shipped Early,Furniture,Edmonds,United States,Bruce Stewart,12/29/17,CA-2017-130631,Hand-Finished Solid Wood Document Frame,20.538,2,West,68.46,Consumer,Standard Class,Washington,Furnishings
3,1693,Shipped On Time,Furniture,Louisville,United States,Katherine Hughes,12/29/17,US-2017-158526,DMI Arturo Collection Mission-style Design Wood Chair,314.0384,8,South,1207.84,Consumer,Second Class,Kentucky,Chairs
3,18,Shipped On Time,Office Supplies,Louisville,United States,Katherine Hughes,12/29/17,US-2017-158526,GBC ProClick Spines for 32-Hole Punch,5.8891,1,South,12.53,Consumer,Second Class,Kentucky,Binders
3,48,Shipped On Time,Office Supplies,Louisville,United States,Katherine Hughes,12/29/17,US-2017-158526,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,10.0282,1,South,34.58,Consumer,Second Class,Kentucky,Art
3,422,Shipped On Time,Furniture,Louisville,United States,Katherine Hughes,12/29/17,US-2017-158526,"Global Leather and Oak Executive Chair, Black",87.2842,1,South,300.98,Consumer,Second Class,Kentucky,Chairs
3,363,Shipped On Time,Furniture,Louisville,United States,Katherine Hughes,12/29/17,US-2017-158526,Harbour Creations Steel Folding Chair,77.625,3,South,258.75,Consumer,Second Class,Kentucky,Chairs
4,552,Shipped Early,Furniture,Los Angeles,United States,James Galang,12/29/17,CA-2017-118885,"Global High-Back Leather Tilter, Burgundy",-44.2764,4,West,393.568,Consumer,Standard Class,California,Chairs
4,424,Shipped Early,Technology,Los Angeles,United States,James Galang,12/29/17,CA-2017-118885,Adtran 1202752G1,22.6782,3,West,302.376,Consumer,Standard Class,California,Phones
5,1017,Shipped Late,Office Supplies,San Francisco,United States,Kristen Hastings,12/28/17,CA-2017-163979,Adjustable Depth Letter/Legal Cart,210.4936,4,West,725.84,Corporate,Second Class,California,Storage
7,102,Shipped Late,Office Supplies,New York City,United States,Jennifer Ferguson,12/28/17,CA-2017-164826,Avery 473,34.776,7,East,72.45,Consumer,Standard Class,New York,Labels
